Events number,p1x,p1y,p1z,p2x,p2y,p2z
512,-23.75124814,9.63559959,17.70424939,21.10003733,-9.399592403,-18.15516175
513,13.8884468,24.28855442,6.266024942,-15.21419631,-29.17874618,-6.775834406
514,9.068309755,12.42217157,-31.31733162,-8.834565538,-12.9603163,29.81847537
515,-1.223681275,29.05993212,-15.82814612,1.23647082,-30.05362243,15.1211607
516,-11.22599513,24.90022144,19.23800293,12.49498938,-21.44744431,-18.60082976
517,-11.81365898,27.73128609,11.85337001,15.14981159,-27.34495849,-11.35867417
518,-13.0636259,30.2801521,-5.55510519,12.51202289,-30.95542668,5.584120412
519,-28.57023842,7.714698684,11.31597589,28.54408092,-9.732300325,-8.440778209
520,31.34394389,16.02818254,-15.67376749,-27.18619517,-13.24431601,14.23135494
521,8.025287469,20.82114618,-23.20506223,-8.083970577,-19.10557458,21.40854266
522,3.805504971,24.16264591,22.73512813,-3.244306291,-24.40037194,-21.98727078
523,1.279832663,31.94722606,5.145298087,-1.479769885,-29.35441351,-4.931452503
524,7.29358476,30.55599895,-4.858951349,-7.428273111,-33.25730743,4.585945438
525,-22.31494007,14.26814598,-17.40827334,23.43110572,-16.30415446,16.79514055
526,14.01926763,25.52056592,16.14534093,-16.28620128,-22.20624423,-16.21108252
527,-27.93613249,6.076187172,-12.53876442,27.53758377,-5.613437924,12.59504804
528,-1.556561605,25.1290948,18.84846205,1.599785523,-26.82683036,-17.53385677
529,-29.61363615,15.72805773,-2.62224164,29.01188071,-15.39869639,2.733841782
530,8.496705233,8.589096315,-28.9190594,-9.110096614,-9.289915497,26.52919663
531,23.07987842,14.22840467,13.62988772,-26.2081224,-14.88586551,-14.43321494
532,16.04103324,25.22683391,18.94922915,-14.6173335,-20.83492834,-18.3203387
533,1.241571929,12.65671939,-31.45187597,-1.291995923,-13.25143941,29.79296541
534,-1.603655713,34.36464472,7.019959707,1.462332992,-35.92599895,-6.861799032
535,4.486468063,32.96986878,-6.477234016,-5.191002412,-30.5489394,6.280156817
536,18.98506096,8.181613727,23.85987157,-22.16410546,-7.299616515,-24.38976663
537,-2.475330858,18.95179308,-24.38502906,2.067102198,-21.60299071,19.96914843
538,24.81996221,20.67430996,-7.727252412,-23.52749058,-20.23444034,8.983370838
539,6.383757409,27.02476742,19.73192012,-7.38226292,-21.39324008,-18.66044948
540,27.97718782,12.64679372,-1.570326983,-31.17362079,-15.02901982,1.625719044
541,-1.055184779,13.91784284,-26.61932399,0.996085258,-15.86673968,27.75594668
542,8.005648287,10.95818636,29.71868052,-8.349815316,-11.23867754,-29.03361141
543,-22.04066234,22.00809628,0.43137257,24.25546117,-23.43430318,-0.42673305
544,1.444154922,32.18221577,-5.625868967,-1.47145107,-31.50052893,5.306216082
545,4.73902202,16.42073222,28.99621165,-5.491677574,-16.56668998,-27.63052159
546,24.43607507,12.63130978,12.8082834,-27.84794008,-13.13869373,-11.75224487
547,-22.34606065,19.43474392,-10.91344421,26.18470966,-20.25570569,10.45099712
548,-22.17901214,20.872499,11.18215205,23.11836963,-19.98825932,-12.23080896
549,-5.768697173,14.3087423,-30.96237885,4.779962548,-14.66836221,27.52333512
550,-21.07554504,20.28124335,7.40011996,22.3118281,-23.02027788,-7.95405931
551,14.60269675,17.99137557,19.00745671,-17.90827522,-20.61603273,-20.40643731
552,18.82817808,2.252433516,-25.58455315,-19.23998921,-2.075626865,25.64876577
553,32.49971728,3.495970801,8.86676517,-26.99473406,-3.22979356,-8.669879154
554,14.76326704,23.14653952,13.94328897,-15.76727013,-25.95165722,-16.44892662
555,-3.037649866,31.63941895,-13.46571218,3.020466199,-27.785448,14.3010707
556,19.34999029,19.30262922,12.31021756,-23.17562106,-19.08892488,-11.47401075
557,4.555067813,20.05401054,-24.50519172,-4.289642978,-20.03635632,25.54526037
558,-27.39973476,13.97936934,14.05067857,25.06596881,-15.12199834,-17.90974338
559,7.793536732,18.91050897,26.42709457,-7.838702353,-17.91118131,-24.86639368
560,15.06311215,5.943994759,30.22830925,-16.01418681,-6.523782178,-26.89799543
561,15.240326,11.64260455,28.43361085,-14.85212351,-10.72513534,-29.90700854
562,9.170000161,26.17471852,-17.20848758,-10.63844037,-23.5229168,18.04429567
563,-6.276146492,14.74042409,-26.95655323,7.065578659,-13.68895883,26.99652418
564,-17.94475623,26.47781678,4.380958655,14.50787244,-29.53260784,-3.952407511
565,22.82023638,5.889890782,20.50937515,-23.34807258,-5.8271804,-23.06591066
566,-31.30411555,9.954056829,-8.02168232,31.48584097,-11.47718965,6.528862423
567,-28.85190767,14.52346623,4.638377305,26.29712379,-15.11180631,-4.997659247
568,23.7906876,20.16525537,-4.063306412,-20.3034632,-23.1220555,3.975072327
569,-21.05618835,3.197619923,-24.547206,20.11677174,-3.576210194,24.23091585
